indice_cliente,media_movel
878.0,8.960820836038867
879.0,8.96235871054261
880.0,8.963455626965915
881.0,8.964201456344028
882.0,8.96579925753499
883.0,8.9680977019558
884.0,8.970007489957954
885.0,8.972493208498943
886.0,8.974881765095054
887.0,8.977142660682834
888.0,8.979525917312321
889.0,8.98204118096071
890.0,8.984106029881401
891.0,8.987176155225137
892.0,8.990151363268705
893.0,8.99272738451006
894.0,8.995561976731159
895.0,8.99914089511673
896.0,9.00315547200241
897.0,9.007050884251747
898.0,9.009542060221001
899.0,9.012382240736446
900.0,9.015324003865935
901.0,9.018730318969478
902.0,9.02267199583446
903.0,9.026556907889896
904.0,9.029839669091759
905.0,9.032896053303968
906.0,9.035150735414645
907.0,9.037003499259496
908.0,9.039190281293072
909.0,9.040972377575251
910.0,9.042782252531673
911.0,9.044870160389959
912.0,9.047561357857413
913.0,9.050514451666423
914.0,9.05433451744145
915.0,9.058536934806696
916.0,9.062514418929092
917.0,9.06628675447684
918.0,9.070108562408572
919.0,9.074070930005972
920.0,9.07778960645418
921.0,9.080801693192894
922.0,9.083971145014234
923.0,9.08724867459762
924.0,9.089779247016189
925.0,9.091811564487235
926.0,9.092685297395658
927.0,9.09429194393072
928.0,9.096042124639634
929.0,9.098249153151594
930.0,9.100439998647827
931.0,9.102565496321972
932.0,9.104375815635319
933.0,9.10656742007598
934.0,9.109139185094218
935.0,9.11201170972903
936.0,9.115167829000397
937.0,9.11846520735569
938.0,9.121585660648769
939.0,9.124498927033773
940.0,9.127400819718865
941.0,9.130679998975351
942.0,9.133759614679015
943.0,9.137379804276216
944.0,9.141089921444333
945.0,9.144051501404892
946.0,9.14746641501998
947.0,9.150948288337686
948.0,9.154233407617234
949.0,9.158133394542144
950.0,9.162939646130337
951.0,9.166635491594892
952.0,9.171021584011998
953.0,9.175666632885559
954.0,9.181055625464987
955.0,9.186467763636553
956.0,9.192306435219747
957.0,9.19822490991552
958.0,9.20449834593433
959.0,9.210286183087547
960.0,9.216386093041168
961.0,9.222180304128285
962.0,9.227955143579848
963.0,9.23330832175689
964.0,9.238472966794875
965.0,9.243621617629223
966.0,9.249077479200913
967.0,9.254688955035489
968.0,9.259367335666743
969.0,9.264059576650498
970.0,9.269339531861261
971.0,9.274193719623181
972.0,9.278105828246751
973.0,9.282040109106568
974.0,9.285694504205237
975.0,9.289353501096619
976.0,9.29300988292997
977.0,9.296307303291332
978.0,9.2994819410833
979.0,9.302185694646651
980.0,9.304726638446123
981.0,9.30689655370553
982.0,9.309833688566219
983.0,9.312859820685143
984.0,9.316288481074034
985.0,9.319352612231219
986.0,9.321681970595119
987.0,9.323712463820018
988.0,9.325719159462993
989.0,9.328692769356557
990.0,9.330797502093786
991.0,9.332978085485944
992.0,9.33520509551444
993.0,9.337913732431165
994.0,9.340662536175325
995.0,9.344012977926498
996.0,9.347972462668782
997.0,9.351295006669
998.0,9.354689136675084
999.0,9.358025269300985
1000.0,9.361398009471941
1001.0,9.365174530983994
1002.0,9.368751286572317
1003.0,9.371585870617189
1004.0,9.373874948107291
1005.0,9.375877355396968
